,date,country,iso_alpha,rate,confirmed,death,recovered
0,2020-01-22,US,USA,1.0,1.0,0.0,0.0
1,2020-01-22,China,CHN,1.0,547.0,17.0,28.0
2,2020-01-22,India,IND,1.0,0.0,0.0,0.0
3,2020-01-22,Japan,JPN,1.0,2.0,0.0,0.0
4,2020-01-22,Korea,KOR,1.0,1.0,0.0,0.0
5,2020-01-22,Singapore,SGP,1.0,0.0,0.0,0.0
6,2020-01-22,Italy,ITA,1.0,0.0,0.0,0.0
7,2020-01-22,UK,GBR,1.0,0.0,0.0,0.0
8,2020-01-22,Germany,DEU,1.0,0.0,0.0,0.0
9,2020-01-22,Spain,ESP,1.0,0.0,0.0,0.0
10,2020-01-22,Brazil,BRA,1.0,0.0,0.0,0.0
11,2020-01-22,Australia,AUS,1.0,0.0,0.0,0.0
12,2020-01-22,Canada,CAN,1.0,0.0,0.0,0.0
13,2020-01-22,Argentina,ARG,1.0,0.0,0.0,0.0
14,2020-01-22,South Africa,ZAF,1.0,0.0,0.0,0.0
15,2020-01-22,Sweden,SWE,1.0,0.0,0.0,0.0
16,2020-01-22,Algeria,DZA,1.0,0.0,0.0,0.0
17,2020-01-22,Bangladesh,BGD,1.0,0.0,0.0,0.0
18,2020-01-22,Pakistan,PAK,1.0,0.0,0.0,0.0
19,2020-01-23,US,USA,1.0,1.0,0.0,0.0
20,2020-01-23,China,CHN,1.1681870532531398,639.0,18.0,30.0
21,2020-01-23,India,IND,1.0,0.0,0.0,0.0
22,2020-01-23,Japan,JPN,0.5024875621890548,1.0,0.0,0.0
23,2020-01-23,Korea,KOR,1.0,1.0,0.0,0.0
24,2020-01-23,Singapore,SGP,101.0,1.0,0.0,0.0
25,2020-01-23,Italy,ITA,1.0,0.0,0.0,0.0
26,2020-01-23,UK,GBR,1.0,0.0,0.0,0.0
27,2020-01-23,Germany,DEU,1.0,0.0,0.0,0.0
28,2020-01-23,Spain,ESP,1.0,0.0,0.0,0.0
29,2020-01-23,Brazil,BRA,1.0,0.0,0.0,0.0
30,2020-01-23,Australia,AUS,1.0,0.0,0.0,0.0
31,2020-01-23,Canada,CAN,1.0,0.0,0.0,0.0
32,2020-01-23,Argentina,ARG,1.0,0.0,0.0,0.0
33,2020-01-23,South Africa,ZAF,1.0,0.0,0.0,0.0
34,2020-01-23,Sweden,SWE,1.0,0.0,0.0,0.0
35,2020-01-23,Algeria,DZA,1.0,0.0,0.0,0.0
36,2020-01-23,Bangladesh,BGD,1.0,0.0,0.0,0.0
37,2020-01-23,Pakistan,PAK,1.0,0.0,0.0,0.0
38,2020-01-24,US,USA,1.9900990099009899,2.0,0.0,0.0
39,2020-01-24,China,CHN,1.433483044083817,916.0,26.0,36.0
40,2020-01-24,India,IND,1.0,0.0,0.0,0.0
41,2020-01-24,Japan,JPN,1.9900990099009899,2.0,0.0,0.0
42,2020-01-24,Korea,KOR,1.9900990099009899,2.0,0.0,0.0
43,2020-01-24,Singapore,SGP,2.98019801980198,3.0,0.0,0.0
44,2020-01-24,Italy,ITA,1.0,0.0,0.0,0.0
45,2020-01-24,UK,GBR,1.0,0.0,0.0,0.0
46,2020-01-24,Germany,DEU,1.0,0.0,0.0,0.0
47,2020-01-24,Spain,ESP,1.0,0.0,0.0,0.0
48,2020-01-24,Brazil,BRA,1.0,0.0,0.0,0.0
49,2020-01-24,Australia,AUS,1.0,0.0,0.0,0.0
50,2020-01-24,Canada,CAN,1.0,0.0,0.0,0.0
51,2020-01-24,Argentina,ARG,1.0,0.0,0.0,0.0
52,2020-01-24,South Africa,ZAF,1.0,0.0,0.0,0.0
53,2020-01-24,Sweden,SWE,1.0,0.0,0.0,0.0
54,2020-01-24,Algeria,DZA,1.0,0.0,0.0,0.0
55,2020-01-24,Bangladesh,BGD,1.0,0.0,0.0,0.0
